"","MAE","MAE_sd","Correlation","Correlation_sd","MeanENV","LowerENV","UpperENV","num_PO","num_PA","Scenario"
"joint0.004",0.58,0.05,0.63,0.08,1.98,-0.49,4.53,77.036,53.346,0.004
"joint0.02",0.64,0.05,0.61,0.08,2.18,-0.9,5.49,387.478,53.346,0.02
"joint0.04",0.65,0.04,0.62,0.07,2.4,-0.73,5.99,777.31,53.346,0.04
"joint0.08",0.64,0.03,0.64,0.07,3.2,-0.07,7.37,1552.618,53.346,0.08
"joint0.12",0.64,0.03,0.66,0.06,4.75,1.06,9.58,2330.746,53.346,0.12
"joint0.16",0.64,0.02,0.67,0.06,6.8,2.59,12.28,3107.428,53.346,0.16
"joint0.2",0.64,0.02,0.67,0.06,10.11,5.28,16.25,3883.982,53.346,0.2
"jointcov0.004",0.53,0.04,0.68,0.07,1.96,0.42,3.56,77.036,53.346,0.004
"jointcov0.02",0.48,0.03,0.75,0.06,2.07,0.23,4.06,387.478,53.346,0.02
"jointcov0.04",0.45,0.04,0.78,0.05,2.15,0.32,4.25,777.31,53.346,0.04
"jointcov0.08",0.45,0.07,0.79,0.06,2.81,0.78,5.38,1552.618,53.346,0.08
"jointcov0.12",0.46,0.13,0.79,0.08,3.84,1.37,7,2330.746,53.346,0.12
"jointcov0.16",0.49,0.2,0.78,0.09,5.37,2.46,9.15,3107.428,53.346,0.16
"jointcov0.2",0.54,0.59,0.77,0.12,7.74,4.23,12.21,3883.982,53.346,0.2
"jointtwo0.004",0.53,0.04,0.68,0.07,1.96,0.34,3.66,77.036,53.346,0.004
"jointtwo0.02",0.48,0.04,0.75,0.06,2.03,0.39,3.78,387.478,53.346,0.02
"jointtwo0.04",0.45,0.04,0.78,0.05,2.1,0.46,3.87,777.31,53.346,0.04
"jointtwo0.08",0.42,0.04,0.82,0.04,2.76,1.07,4.65,1552.618,53.346,0.08
"jointtwo0.12",0.4,0.04,0.83,0.04,3.45,1.6,5.53,2330.746,53.346,0.12
"jointtwo0.16",0.39,0.05,0.84,0.04,5.36,3.3,7.69,3107.428,53.346,0.16
"jointtwo0.2",0.39,0.05,0.85,0.04,8.2,5.78,10.95,3883.982,53.346,0.2
"structured0.2",0.56,0.05,0.66,0.07,1.94,0.58,3.49,3883.982,53.346,0.2
"unstructured0.004",0.74,0.11,0.49,0.12,2.04,-1.79,6.01,77.036,53.346,0.004
"unstructured0.02",0.71,0.06,0.55,0.09,2.29,-1.36,6.21,387.478,53.346,0.02
"unstructured0.04",0.69,0.05,0.59,0.08,2.52,-1.02,6.57,777.31,53.346,0.04
"unstructured0.08",0.67,0.03,0.63,0.07,3.25,-0.27,7.74,1552.618,53.346,0.08
"unstructured0.12",0.66,0.03,0.65,0.06,5.06,1.18,10.11,2330.746,53.346,0.12
"unstructured0.16",0.65,0.03,0.66,0.06,7.06,2.7,12.7,3107.428,53.346,0.16
"unstructured0.2",0.65,0.02,0.67,0.06,10.36,5.43,16.65,3883.982,53.346,0.2
"unstructuredcov0.004",0.6,0.14,0.62,0.11,2,-0.4,4.51,77.036,53.346,0.004
"unstructuredcov0.02",0.61,0.21,0.65,0.12,2.22,-0.69,5.42,387.478,53.346,0.02
"unstructuredcov0.04",0.63,0.26,0.66,0.14,2.48,-0.59,6.1,777.31,53.346,0.04
"unstructuredcov0.08",0.69,0.43,0.66,0.16,3.82,0.29,8.28,1552.618,53.346,0.08
"unstructuredcov0.12",0.83,1.05,0.65,0.18,6.67,2.31,12.24,2330.746,53.346,0.12
"unstructuredcov0.16",1.11,3.54,0.64,0.2,9.88,4.85,16.15,3107.428,53.346,0.16
"unstructuredcov0.2",1.55,6.76,0.63,0.21,14.07,8.1,21.11,3883.982,53.346,0.2
