"","MAE","MAE_sd","Correlation","Correlation_sd","MeanENV","LowerENV","UpperENV","num_PO","num_PA","Scenario"
"joint",0.64,0.02,0.52,0.11,-0.51,-2.4,0.96,2685.316,53.346,"TRUE"
"jointcov",0.47,0.11,0.76,0.16,0.6,-1.48,2.33,2685.316,53.346,"TRUE"
"jointtwo",0.42,0.07,0.84,0.08,0.82,-1.12,2.59,2685.316,53.346,"TRUE"
"structured",0.56,0.05,0.66,0.07,1.94,0.58,3.48,2685.316,53.346,"TRUE"
"unstructured",0.65,0.02,0.5,0.11,-0.59,-2.54,0.92,2685.316,53.346,"TRUE"
"unstructuredcov",0.73,0.32,0.41,0.4,-0.69,-3.12,1.28,2685.316,53.346,"TRUE"
"joint150",0.64,0.02,0.67,0.06,10.06,5.18,16.26,3883.982,53.346,"FALSE"
"jointcov150",0.71,4.16,0.77,0.12,7.86,4.28,12.39,3883.982,53.346,"FALSE"
"jointtwo150",0.39,0.05,0.85,0.04,7.17,4.86,9.8,3883.982,53.346,"FALSE"
"structured150",0.56,0.08,0.66,0.07,1.96,0.59,3.52,3883.982,53.346,"FALSE"
"unstructured150",0.65,0.02,0.67,0.06,11.05,6.1,17.37,3883.982,53.346,"FALSE"
"unstructuredcov150",1.32,3.98,0.63,0.21,13.96,7.96,21.05,3883.982,53.346,"FALSE"
