"","MAE","MAE_sd","Correlation","Correlation_sd","MeanENV","LowerENV","UpperENV","num_PO","num_PA","Scenario"
"joint100",0.64,0.02,0.67,0.06,10.93,6.01,17.22,3883.982,35.654,100
"joint150",0.64,0.02,0.67,0.06,10.06,5.18,16.26,3883.982,53.346,150
"joint200",0.63,0.02,0.68,0.06,10.59,5.82,16.68,3883.982,71.38,200
"joint250",0.63,0.02,0.68,0.06,10.36,5.63,16.39,3883.982,89.232,250
"joint300",0.63,0.02,0.68,0.06,10.51,5.76,16.55,3883.982,106.884,300
"joint350",0.62,0.02,0.68,0.06,11.11,6.25,17.24,3883.982,125.014,350
"joint400",0.62,0.02,0.69,0.05,9.75,5.17,15.59,3883.982,142.688,400
"joint450",0.62,0.02,0.69,0.05,9.83,5.28,15.6,3883.982,159.92,450
"joint50",0.65,0.02,0.67,0.06,10.78,5.84,17.08,3883.982,18.11,50
"joint500",0.61,0.02,0.69,0.05,9.74,5.2,15.49,3883.982,177.842,500
"jointcov100",0.71,2.78,0.74,0.14,9.05,4.71,14.17,3883.982,35.654,100
"jointcov150",0.71,4.16,0.77,0.12,7.86,4.28,12.39,3883.982,53.346,150
"jointcov200",0.5,0.37,0.78,0.11,7.22,3.89,11.38,3883.982,71.38,200
"jointcov250",0.45,0.15,0.8,0.08,6.91,3.87,10.71,3883.982,89.232,250
"jointcov300",0.44,0.13,0.81,0.07,6.69,3.84,10.36,3883.982,106.884,300
"jointcov350",0.42,0.11,0.82,0.06,6.49,3.69,9.98,3883.982,125.014,350
"jointcov400",0.41,0.1,0.83,0.06,6.42,3.72,9.81,3883.982,142.688,400
"jointcov450",0.4,0.07,0.84,0.05,5.85,3.28,9.08,3883.982,159.92,450
"jointcov50",0.89,2.24,0.69,0.18,9.86,4.93,15.75,3883.982,18.11,50
"jointcov500",0.39,0.07,0.84,0.05,5.88,3.36,9.01,3883.982,177.842,500
"jointtwo100",0.41,0.12,0.84,0.05,7,4.5,9.86,3883.982,35.654,100
"jointtwo150",0.39,0.05,0.85,0.04,7.17,4.86,9.8,3883.982,53.346,150
"jointtwo200",0.38,0.04,0.85,0.04,8.34,5.97,11.01,3883.982,71.38,200
"jointtwo250",0.37,0.04,0.86,0.04,7.72,5.55,10.17,3883.982,89.232,250
"jointtwo300",0.37,0.04,0.86,0.03,6.7,4.66,9.04,3883.982,106.884,300
"jointtwo350",0.36,0.03,0.87,0.03,6.36,4.34,8.65,3883.982,125.014,350
"jointtwo400",0.36,0.03,0.87,0.03,7.37,5.28,9.73,3883.982,142.688,400
"jointtwo450",0.35,0.03,0.87,0.03,6.21,4.29,8.36,3883.982,159.92,450
"jointtwo50",0.45,0.1,0.81,0.08,7.22,4.41,10.45,3883.982,18.11,50
"jointtwo500",0.35,0.02,0.87,0.03,5.86,3.99,7.99,3883.982,177.842,500
"structured100",0.58,0.09,0.65,0.08,1.95,0.29,3.92,3883.982,35.654,100
"structured150",0.56,0.08,0.66,0.07,1.96,0.59,3.52,3883.982,53.346,150
"structured200",0.55,0.05,0.67,0.07,1.85,0.55,3.28,3883.982,71.38,200
"structured250",0.54,0.04,0.68,0.07,1.9,0.66,3.23,3883.982,89.232,250
"structured300",0.52,0.04,0.69,0.07,1.92,0.75,3.2,3883.982,106.884,300
"structured350",0.52,0.04,0.7,0.07,1.88,0.73,3.12,3883.982,125.014,350
"structured400",0.5,0.03,0.72,0.07,1.94,0.78,3.18,3883.982,142.688,400
"structured450",0.5,0.03,0.72,0.06,1.93,0.8,3.12,3883.982,159.92,450
"structured50",0.62,0.18,0.61,0.18,2.12,-0.27,5.48,3883.982,18.11,50
"structured500",0.49,0.03,0.73,0.06,1.93,0.8,3.09,3883.982,177.842,500
"unstructured150",0.65,0.02,0.67,0.06,11.05,6.1,17.37,3883.982,53.346,150
"unstructuredcov150",1.32,3.98,0.63,0.21,13.96,7.96,21.05,3883.982,53.346,150
