,lambda,env.beta,seed,sigma2x,kappa,nsamp,section,npres,uns_nsamp,Model,MAE,correlation,worst,best,tot_cpu,sim
Total,-3,1.2,849553,1,0.05,250,left,5,379,structured,1.047806641,-0.352097801,"61, 81, 161, 241, 181, 201, 261, 281, 341, 361, 21, 41, 101, 121, 141, 321, 221, 301, 381","1, 21, 41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 381, 81, 161, 241, 321",35.70860696,1
Total1,-3,1.2,849553,1,0.05,250,left,5,379,joint,2.158004122,0.084047621,"141, 221, 301, 381, 61, 361, 41, 281","1, 81, 101, 161, 181, 241, 261, 321, 341, 21",41.33367705,1
Total2,-3,1.2,849553,1,0.05,250,left,5,379,jointcov,0.44336139,0.725812849,"1, 61, 141, 381, 41, 81, 121, 261, 281, 361, 21, 101, 221, 301, 201","81, 121, 161, 181, 221, 241, 261, 281, 301, 321, 341, 361, 1, 21, 61, 141",42.56947303,1
Total3,-3,1.2,849553,1,0.05,250,left,5,379,covariate,1.005623329,-0.235510023,"1, 61, 81, 141, 161, 181, 241, 261, 281, 341, 361, 41, 101, 121, 201, 21, 221, 301, 321, 381","101, 121, 141, 181, 201, 221, 281, 301, 341, 361, 381, 1, 21, 41, 61, 81, 161, 241, 321",25.26503491,1
Total4,-3,1.2,849553,1,0.05,250,left,5,379,covariatebias,0.99392089,-0.27253606,"1, 61, 81, 161, 181, 241, 201, 261, 281, 341, 361, 41, 101, 121, 141, 321, 21, 221, 381","21, 41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 381, 1, 81, 161, 241, 321",25.00250006,1
Total5,-3,1.2,849553,1,0.05,250,left,5,379,correlation_str,1.487309702,-0.093505658,"301, 381, 141, 221, 261, 361, 41, 61, 121, 201, 281","1, 21, 41, 61, 81, 101, 121, 181, 261, 321, 341, 161, 241",57.38225102,1
Total6,-3,1.2,849553,1,0.05,250,left,5,379,correlation_uns,1.380001092,0.092365268,"241, 301, 381, 61, 141, 221, 21, 1","41, 101, 121, 181, 201, 261, 281, 341, 361, 381, 21, 61, 141",57.38225102,1
Total7,-3,1.2,849553,1,0.05,250,left,5,379,correlationbias_str,0.63103417,0.479573647,"61, 81, 101, 141, 161, 181, 241, 41, 121, 201, 261, 281, 341, 361, 381, 1, 221, 21, 301, 321","1, 61, 101, 121, 181, 201, 221, 281, 301, 341, 361, 381, 21, 41, 81, 141, 161, 241, 261, 321",49.23541903,1
Total8,-3,1.2,849553,1,0.05,250,left,5,379,correlationbias_uns,0.420419908,0.738099455,"1, 41, 61, 101, 121, 141, 181, 361, 381, 81, 261, 281, 21, 221, 301","81, 101, 161, 181, 201, 281, 301, 321, 341, 1, 21, 41, 121, 141, 241, 261, 381, 361",49.23541903,1
Total9,-3,1.2,849553,1,0.05,250,right,13,379,structured,0.585373502,0.032360063,"1, 21, 61, 81, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 281, 361, 201, 341","141, 221, 301, 361, 201, 281, 321, 341, 381, 1, 21, 121, 41, 161, 181, 241, 261",54.2663691,2
Total10,-3,1.2,849553,1,0.05,250,right,13,379,joint,2.424296374,0.118243832,"81, 101, 161, 181, 241, 261, 321, 1, 341, 21","61, 141, 221, 301, 381, 361, 41, 281",42.45324898,2
Total11,-3,1.2,849553,1,0.05,250,right,13,379,jointcov,0.551338078,0.797886903,"41, 61, 101, 121, 141, 181, 201, 221, 261, 361, 381, 341, 1, 21, 81, 281","81, 141, 221, 301, 321, 361, 1, 21, 41, 161, 181, 201, 281, 381, 61, 121, 241",50.58744788,2
Total12,-3,1.2,849553,1,0.05,250,right,13,379,covariate,0.5500476,0.173484935,"1, 61, 81, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 281, 341, 361, 201, 21","141, 201, 221, 281, 301, 41, 81, 101, 181, 261, 321, 381, 1, 61, 361",24.48207378,2
Total13,-3,1.2,849553,1,0.05,250,right,13,379,covariatebias,0.572356912,0.052877238,"1, 21, 61, 81, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 281, 201, 341","121, 141, 221, 281, 301, 361, 201, 321, 341, 381, 21, 61, 41, 161",23.29253197,2
Total14,-3,1.2,849553,1,0.05,250,right,13,379,correlation_str,0.942991989,0.205394831,"1, 21, 61, 81, 101, 141, 161, 181, 241, 261, 321, 341, 41, 121","141, 221, 301, 381, 181, 201, 261, 281, 341, 361, 41, 61, 101, 121",58.64365792,2
Total15,-3,1.2,849553,1,0.05,250,right,13,379,correlation_uns,1.337637765,0.104701709,"241, 301, 381, 61, 141, 221, 21, 101, 161, 1, 81","1, 41, 61, 101, 121, 181, 201, 261, 281, 341, 361, 381, 21, 141",58.64365792,2
